PAS gene loc
human81219 CCT2 intron
human81224 CCT2 utr3
human81227 RAB3IP intron
human81228 RAB3IP intron
human81231 RAB3IP cds
human81240 RAB3IP intron
chimp73509 RAB3IP intron
human81249 RAB3IP intron
human81253 RAB3IP utr3
human81278 LINC01481 intron
human81279 LINC01481 intron
human81280 LINC01481 intron
human81285 LINC01481 utr3
human81286 LINC01481 utr3
human81287 CNOT2 utr5
human81288 CNOT2 intron
human81342 CNOT2 intron
human81359 CNOT2 utr3
human81420 ZFC3H1 intron
human81431 ZFC3H1 cds
human81436 ZFC3H1 cds
human81437 ZFC3H1 cds
human81447 ZFC3H1 cds
human81457 LOC107984529 end
human81458 LOC107984529 end
human81459 LOC107984529 utr3
human81460 LOC107984529 utr3
chimp73834 ZFC3H1 cds
human81464 ZFC3H1 utr5
human81477 TMEM19 cds
human81487 TMEM19 utr3
human81488 TMEM19 utr3
chimp73862 TMEM19 utr3
human81492 TMEM19 utr3
human81501 RAB21 cds
human81513 RAB21 cds
human81514 RAB21 cds
human81535 RAB21 utr3
human81538 RAB21 utr3
chimp73915 TBC1D15 cds
human81565 TBC1D15 cds
human81572 TBC1D15 cds
human81574 TBC1D15 cds
human81584 TBC1D15 end
chimp73932 TBC1D15 end
human81591 TBC1D15 utr3
human81603 ATXN7L3B cds
human81607 ATXN7L3B utr3
human81617 CAPS2 utr3
human81623 CAPS2 intron
human81628 CAPS2 intron
human81643 CAPS2 intron
human81645 CAPS2 intron
human81652 CAPS2 intron
human81654 CAPS2 utr3
human81657 GLIPR1 cds
human81658 GLIPR1 intron
chimp73996 GLIPR1 intron
human81663 GLIPR1 intron
human81672 KRR1 end
human81677 KRR1 end
human81684 KRR1 utr3
human81686 KRR1 cds
human81688 GLIPR1 utr3
chimp74026 GLIPR1 utr3
human81691 GLIPR1 utr3
human81692 KRR1 cds
human81693 GLIPR1 end
human81694 GLIPR1 end
chimp74031 GLIPR1 end
human81706 PHLDA1 utr3
human81711 PHLDA1 utr3
chimp74066 NAP1L1 utr3
chimp74067 NAP1L1 utr3
chimp74070 NAP1L1 utr3
human81731 NAP1L1 utr3
human81736 NAP1L1 utr3
human81737 NAP1L1 intron
human81738 NAP1L1 utr3
human81747 NAP1L1 utr3
human81750 NAP1L1 utr3
chimp74092 NAP1L1 utr3
human81789 OSBPL8 utr3
human81790 OSBPL8 utr3
human81843 OSBPL8 intron
human81903 ZDHHC17 intron
human81906 ZDHHC17 intron
human81908 ZDHHC17 cds
human81917 ZDHHC17 cds
human81926 ZDHHC17 utr3
human81928 ZDHHC17 utr3
human81929 ZDHHC17 utr3
chimp74303 E2F7 cds
human81961 E2F7 intron
human81976 E2F7 intron
human81980 E2F7 cds
human82012 PAWR utr3
human82022 PAWR cds
human82032 PAWR cds
human82059 PAWR utr3
human82065 PPP1R12A utr3
human82085 PPP1R12A utr3
human82096 PPP1R12A utr3
human82124 PPP1R12A utr3
human82243 LIN7A utr3
human82259 LIN7A utr3
human82261 LIN7A utr3
human82348 LIN7A intron
human82372 LIN7A intron
human82373 LIN7A intron
human82388 MIR618 end
human82389 MIR618 end
human82390 MIR618 end
human82391 MIR618 end
human82392 MIR618 end
human82393 MIR618 end
human82409 CCDC59 utr3
human82411 CCDC59 utr3
human82413 CCDC59 utr3
human82416 CCDC59 intron
human82417 CCDC59 utr3
human82418 CCDC59 utr3
human82419 CCDC59 cds
human82422 METTL25 intron
human82423 METTL25 intron
human82431 METTL25 intron
human82433 METTL25 cds
human82439 METTL25 intron
human82444 METTL25 utr3
chimp74836 METTL25 intron
human82474 TMTC2 intron
human82478 TMTC2 intron
chimp74852 TMTC2 intron
human82535 TMTC2 cds
human82571 TMTC2 intron
human82664 CEP290 utr3
human82667 CEP290 intron
chimp74982 TMTC3 utr5
human82678 TMTC3 intron
human82683 TMTC3 intron
human82690 TMTC3 intron
human82704 TMTC3 cds
human82709 TMTC3 utr3
human82724 POC1B utr3
human82727 POC1B intron
human82728 POC1B intron
human82735 POC1B intron
human82747 POC1B intron
human82748 POC1B intron
human82752 POC1B intron
human82757 POC1B intron
human82759 POC1B-GALNT4 end
human82760 POC1B-GALNT4 end
human82761 POC1B-GALNT4 end
human82762 POC1B-GALNT4 end
human82764 POC1B-GALNT4 utr3
human82775 POC1B-AS1 intron
human82779 POC1B-AS1 utr5
human82781 POC1B-AS1 end
human82782 POC1B-AS1 end
human82783 POC1B-AS1 end
human82804 ATP2B1 utr3
chimp75087 ATP2B1 utr3
human82824 ATP2B1 utr3
human82846 ATP2B1 utr3
human82848 ATP2B1 utr3
human82962 LINC01619 intron
human82980 LINC01619 intron
human82981 LINC01619 intron
human83023 LINC01619 intron
chimp75299 LINC01619 intron
human83038 LINC01619 intron
human83049 BTG1 utr3
human83050 BTG1 utr3
human83053 LOC107984023 end
human83054 LOC107984023 end
chimp75322 LOC101928617 utr5
human83055 LOC101928617 utr5
human83056 LOC101928617 intron
human83059 LOC101928617 intron
chimp75334 LOC101928617 utr5
human83063 LOC101928617 end
human83065 LOC101928617 utr5
human83067 LOC101928617 end
human83068 LOC101928617 end
human83145 LINC02397 intron
chimp75366 LINC02397 intron
human83152 LINC02397 intron
human83154 LINC02397 intron
human83157 LINC02397 utr5
human83158 LINC02397 utr5
chimp75377 LINC02397 end
human83162 LINC02397 end
human83267 EEA1 cds
human83269 EEA1 cds
human83278 EEA1 intron
human83279 EEA1 intron
human83328 EEA1 cds
human83440 LOC643339 intron
human83442 LOC643339 intron
human83460 LOC643339 intron
human83468 LOC643339 intron
chimp75463 LOC643339 intron
chimp75466 LOC643339 intron
chimp75467 LOC643339 intron
chimp75470 LOC643339 intron
human83474 LOC643339 intron
chimp75473 LOC643339 intron
human83482 NUDT4 intron
human83483 NUDT4 intron
chimp75482 NUDT4 intron
human83495 NUDT4 cds
human83498 NUDT4 utr3
human83499 NUDT4 utr3
human83500 NUDT4 utr3
human83510 UBE2N utr3
human83512 UBE2N utr3
human83513 UBE2N utr3
human83516 LOC112267866 end
human83517 LOC112267866 utr3
human83518 LOC112267866 utr3
human83519 LOC112267866 end
human83520 LOC112267866 utr3
human83527 LOC112267866 utr3
human83541 UBE2N intron
human83557 MRPL42 intron
human83559 MRPL42 utr3
human83560 MRPL42 utr3
chimp75542 MRPL42 utr3
human83564 MRPL42 end
human83590 SOCS2 intron
human83591 SOCS2 cds
human83592 SOCS2 cds
human83595 SOCS2 utr3
human83597 SOCS2 utr3
human83600 CRADD cds
human83609 CRADD intron
chimp75582 CRADD intron
human83623 CRADD intron
human83624 CRADD intron
human83625 CRADD intron
human83630 CRADD intron
human83675 PLXNC1 intron
human83681 PLXNC1 intron
human83712 PLXNC1 cds
human83774 PLXNC1 utr3
human83803 CEP83 utr3
human83805 CEP83 intron
human83812 CEP83 utr3
human83832 CEP83 utr3
human83863 TMCC3 utr3
human83867 TMCC3 utr3
human83869 TMCC3 utr3
human83886 TMCC3 intron
human83894 TMCC3 intron
human83905 TMCC3 intron
human83913 TMCC3 intron
human84251 NDUFA12 utr3
human84260 NDUFA12 cds
human84261 NDUFA12 cds
human84262 NDUFA12 cds
human84265 NR2C1 utr3
human84268 NR2C1 end
human84269 NR2C1 utr3
human84280 NR2C1 intron
human84284 NR2C1 intron
human84288 FGD6 intron
human84289 FGD6 intron
human84294 FGD6 cds
human84297 FGD6 intron
human84301 FGD6 intron
human84308 FGD6 cds
human84318 FGD6 cds
human84319 FGD6 cds
human84328 VEZT intron
human84349 VEZT intron
chimp75992 VEZT intron
human84363 VEZT cds
human84364 VEZT utr3
human84366 VEZT utr3
human84367 VEZT utr3
human84368 VEZT utr3
human84370 VEZT utr3
human84378 METAP2 cds
chimp76019 METAP2 cds
human84392 METAP2 cds
human84395 METAP2 cds
human84398 METAP2 utr3
human84410 SNRPF cds
human84411 SNRPF utr3
human84420 LTA4H utr3
human84426 LTA4H end
human84430 LTA4H utr3
human84433 LTA4H utr3
human84437 LTA4H utr3
human84445 ELK3 intron
human84446 ELK3 cds
chimp76095 ELK3 intron
human84454 ELK3 intron
human84455 ELK3 intron
human84468 ELK3 utr3
human84473 CDK17 utr3
human84474 CDK17 utr3
human84484 CDK17 cds
human84495 CDK17 intron
human84529 CDK17 intron
human84557 NEDD1 intron
human84562 NEDD1 intron
human84575 NEDD1 cds
human84578 NEDD1 utr3
human84579 NEDD1 utr3
chimp76195 NEDD1 utr3
human84604 TMPO cds
human84615 TMPO intron
human84616 TMPO cds
human84620 TMPO utr3
human84629 TMPO intron
human84632 TMPO cds
human84639 TMPO utr3
human84659 SLC25A3 utr3
human84663 IKBIP end
human84664 IKBIP utr3
human84666 IKBIP utr3
human84673 IKBIP utr3
human84679 IKBIP cds
human84681 IKBIP intron
human84685 IKBIP cds
human84689 IKBIP intron
human84692 APAF1 cds
human84700 APAF1 end
human84705 APAF1 cds
human84706 APAF1 cds
human84748 UHRF1BP1L end
human84757 UHRF1BP1L utr3
chimp76521 UHRF1BP1L utr3
human84758 UHRF1BP1L utr3
chimp76548 UHRF1BP1L intron
human84784 UHRF1BP1L intron
human84785 UHRF1BP1L intron
human84786 UHRF1BP1L intron
human84794 GOLGA2P5 end
human84795 GOLGA2P5 utr3
chimp76560 GOLGA2P5 utr3
human84799 GOLGA2P5 end
human84800 GOLGA2P5 end
human84801 GOLGA2P5 utr3
human84802 GOLGA2P5 utr3
human84803 GOLGA2P5 utr3
chimp76567 GOLGA2P5 utr3
human84813 ACTR6 intron
human84814 ACTR6 cds
human84820 ACTR6 cds
human84822 ACTR6 utr3
human84851 SCYL2 intron
human84852 SCYL2 intron
human84855 SCYL2 cds
human84857 SCYL2 utr3
human84859 SCYL2 utr3
human84861 SCYL2 utr3
human84873 GAS2L3 intron
human84876 GAS2L3 utr5
human84877 GAS2L3 cds
human84879 GAS2L3 cds
chimp76633 GAS2L3 cds
chimp76635 GAS2L3 intron
human84881 GAS2L3 intron
human84885 GAS2L3 utr3
human84908 UTP20 cds
human84915 UTP20 cds
chimp76674 UTP20 cds
human84919 UTP20 cds
human84925 UTP20 cds
human84930 UTP20 cds
chimp76688 UTP20 cds
human84932 UTP20 utr3
human84934 ARL1 utr3
human84936 ARL1 utr3
human84937 ARL1 utr3
human84938 ARL1 utr3
human84954 CHPT1 utr3
chimp76729 GNPTAB end
human84959 GNPTAB utr3
human84965 CHPT1 end
human84966 CHPT1 utr5
human84968 CHPT1 utr5
human84971 CHPT1 utr5
human84977 GNPTAB cds
human85038 DRAM1 cds
human85054 DRAM1 intron
human85056 DRAM1 intron
human85069 DRAM1 utr3
human85170 WASHC3 utr3
human85188 WASHC3 intron
human85192 WASHC3 cds
human85203 WASHC3 intron
chimp77058 WASHC3 intron
human85247 NUP37 utr3
human85265 NUP37 intron
human85269 NUP37 intron
human85273 NUP37 intron
human85275 NUP37 intron
human85276 NUP37 intron
human85277 NUP37 utr3
human85279 PARPBP intron
human85290 PARPBP intron
human85302 PARPBP utr3
human85303 PARPBP utr3
human85305 PARPBP utr3
human85340 IGF1 utr3
human85341 IGF1 utr3
human85344 IGF1 utr3
chimp77289 IGF1 intron
human85353 IGF1 intron
human85367 IGF1 intron
human85375 LOC105369944 intron
human85379 LOC105369944 intron
chimp77368 LOC105369944 intron
human85380 LOC105369944 intron
human85390 LOC105369944 intron
human85396 LOC105369944 intron
human85397 LOC105369944 intron
human85404 LOC105369944 intron
human85452 NT5DC3 utr3
human85455 NT5DC3 end
human85458 NT5DC3 intron
human85465 NT5DC3 intron
human85466 NT5DC3 intron
human85468 NT5DC3 intron
human85471 NT5DC3 intron
human85486 MIR3652 end
human85487 MIR3652 end
human85493 HSP90B1 cds
human85494 HSP90B1 cds
human85501 HSP90B1 cds
human85508 HSP90B1 cds
human85509 HSP90B1 utr3
human85518 C12orf73 utr3
human85520 C12orf73 utr3
human85521 C12orf73 cds
human85530 C12orf73 utr5
human85531 C12orf73 utr5
human85540 TDG intron
human85545 TDG intron
human85557 TDG utr3
chimp77497 TDG utr3
human85567 HCFC2 cds
human85568 HCFC2 cds
human85569 HCFC2 intron
human85573 HCFC2 intron
human85578 HCFC2 end
human85579 HCFC2 utr3
human85582 HCFC2 utr3
human85585 HCFC2 end
human85589 NFYB utr3
human85591 NFYB utr3
human85592 NFYB utr3
human85593 NFYB utr3
human85594 NFYB utr3
human85596 NFYB cds
human85606 NFYB intron
human85607 NFYB intron
human85610 NFYB intron
human85615 TXNRD1 cds
human85631 TXNRD1 cds
human85633 TXNRD1 cds
human85636 TXNRD1 cds
human85639 TXNRD1 intron
human85650 TXNRD1 utr3
human85706 CHST11 intron
human85729 CHST11 intron
human85753 CHST11 intron
human85762 LOC112268100 end
human85763 LOC112268100 end
human85800 CHST11 utr3
human85803 CHST11 utr3
human85807 SLC41A2 utr3
chimp77695 SLC41A2 utr3
human85814 SLC41A2 intron
human85818 SLC41A2 intron
human85849 SLC41A2 intron
human85861 SLC41A2 intron
human85863 C12orf45 intron
human85864 C12orf45 cds
human85865 C12orf45 utr3
human85898 WASHC4 intron
human85899 WASHC4 intron
human85907 WASHC4 intron
human85926 WASHC4 end
human85937 WASHC4 cds
human85945 WASHC4 utr3
human85950 APPL2 utr3
human85967 APPL2 intron
human85992 APPL2 utr5
human86024 C12orf75 intron
human86042 C12orf75 cds
human86047 C12orf75 utr3
human86048 C12orf75 utr3
human86051 C12orf75 end
human86094 POLR3B intron
human86096 POLR3B intron
human86101 POLR3B cds
human86108 POLR3B cds
chimp77895 POLR3B intron
human86114 POLR3B utr3
human86115 POLR3B end
human86125 RIC8B intron
human86127 RIC8B intron
human86136 RIC8B intron
human86137 RIC8B intron
human86150 RIC8B intron
human86154 RIC8B cds
human86166 RIC8B utr3
human86177 TMEM263 utr5
human86180 TMEM263 intron
human86182 TMEM263 intron
human86183 TMEM263 intron
chimp77962 TMEM263 intron
human86189 TMEM263 intron
human86192 TMEM263 cds
human86195 TMEM263 utr3
human86200 TMEM263 utr3
human86201 TMEM263 utr3
human86205 MTERF2 utr3
human86208 MTERF2 cds
human86211 MTERF2 intron
human86217 MTERF2 intron
human86218 MTERF2 utr5
human86219 MTERF2 utr5
human86220 MTERF2 utr5
human86222 CRY1 utr3
human86223 CRY1 intron
human86227 CRY1 cds
human86233 CRY1 intron
human86234 CRY1 intron
human86235 CRY1 intron
human86236 CRY1 intron
human86237 CRY1 intron
human86245 PWP1 cds
chimp78009 PWP1 cds
human86249 PWP1 cds
human86264 PWP1 utr3
chimp78037 PWP1 utr3
human86273 PRDM4 utr3
human86275 PRDM4 utr3
human86277 PRDM4 intron
human86281 PRDM4 intron
human86284 PRDM4 intron
human86285 PRDM4 intron
human86317 FICD intron
human86320 FICD end
human86321 FICD end
human86323 FICD end
human86324 SART3 utr3
human86325 SART3 utr3
human86330 SART3 cds
human86335 SART3 cds
human86353 SART3 cds
human86373 SELPLG utr3
human86380 SELPLG intron
human86393 CORO1C utr3
human86397 CORO1C utr3
human86425 CORO1C intron
human86442 SSH1 end
human86444 SSH1 utr3
chimp78214 SSH1 intron
human86465 SSH1 intron
human86478 SSH1 intron
human86493 USP30 cds
human86494 USP30 intron
chimp78236 USP30 intron
chimp78237 USP30 intron
human86498 USP30 intron
human86500 USP30 utr3
human86501 USP30 utr3
human86502 ALKBH2 utr3
human86503 ALKBH2 intron
human86504 ALKBH2 cds
human86505 ALKBH2 cds
human86508 UNG utr3
human86509 UNG utr3
human86511 KCTD10 utr3
human86513 KCTD10 utr3
human86515 KCTD10 utr3
human86516 KCTD10 utr3
human86522 KCTD10 intron
human86523 KCTD10 intron
human86524 UBE3B utr5
human86531 UBE3B cds
human86534 UBE3B intron
human86536 UBE3B utr3
human86547 UBE3B utr3
human86550 MMAB utr3
human86551 MMAB utr3
human86564 MVK utr3
human86568 GLTP utr3
human86571 GLTP intron
human86572 GLTP intron
human86573 GLTP intron
human86576 TCHP cds
human86580 TCHP cds
human86581 TCHP cds
chimp78311 TCHP cds
human86583 TCHP cds
human86586 TCHP intron
chimp78317 TCHP cds
human86587 TCHP cds
human86589 TCHP utr3
human86596 TCHP utr3
human86597 GIT2 utr3
human86598 GIT2 utr3
human86604 GIT2 utr3
human86617 GIT2 intron
human86623 GIT2 intron
human86644 ANKRD13A cds
human86664 C12orf76 end
human86665 C12orf76 end
human86666 ANKRD13A utr3
human86667 C12orf76 end
human86669 C12orf76 utr3
human86671 C12orf76 utr3
human86674 C12orf76 utr3
human86675 C12orf76 utr3
human86676 IFT81 intron
human86678 IFT81 intron
human86679 IFT81 cds
human86686 IFT81 end
human86687 IFT81 cds
human86689 IFT81 cds
human86695 ATP2A2 cds
human86705 ATP2A2 cds
human86706 ATP2A2 intron
human86729 ATP2A2 utr3
human86731 ATP2A2 utr3
human86733 ANAPC7 utr3
human86734 ANAPC7 utr3
human86740 ANAPC7 utr3
human86741 ANAPC7 utr3
human86754 ARPC3 utr3
chimp78468 ARPC3 utr3
human86756 ARPC3 cds
human86757 ARPC3 cds
human86761 ARPC3 cds
human86767 GPN3 end
human86768 GPN3 end
human86769 GPN3 end
human86770 GPN3 end
human86771 GPN3 utr3
chimp78480 GPN3 utr3
human86772 GPN3 utr3
human86773 GPN3 cds
human86788 FAM216A utr3
human86790 VPS29 utr3
human86791 VPS29 utr3
human86800 VPS29 cds
human86806 PPTC7 utr3
human86810 PPTC7 utr3
human86818 PPTC7 intron
human86828 PPTC7 intron
human86829 PPTC7 intron
human86830 PPTC7 intron
human86836 PPTC7 intron
human86840 TCTN1 utr3
human86849 TCTN1 utr3
human86851 HVCN1 cds
human86853 TCTN1 end
human86860 HVCN1 cds
human86863 HVCN1 intron
human86880 HVCN1 cds
human86890 HVCN1 cds
human86902 PPP1CC utr3
human86914 PPP1CC intron
human86915 PPP1CC intron
human86928 SH2B3 intron
human86930 SH2B3 intron
human86931 SH2B3 intron
human86933 SH2B3 intron
human86937 SH2B3 intron
human86944 SH2B3 utr3
human86947 SH2B3 utr3
human86961 ATXN2 utr3
human86974 ATXN2 utr3
chimp78645 ATXN2 utr3
human86982 ATXN2 intron
human86983 ATXN2 utr3
human87008 BRAP utr3
human87009 BRAP utr3
human87011 BRAP cds
human87012 BRAP cds
human87013 BRAP intron
human87023 BRAP intron
chimp78695 ACAD10 intron
human87036 ACAD10 intron
human87038 ACAD10 intron
human87042 ACAD10 utr3
human87049 MAPKAPK5-AS1 utr3
human87052 MAPKAPK5-AS1 intron
human87060 MAPKAPK5 intron
human87068 MAPKAPK5 cds
human87069 MAPKAPK5 intron
human87072 MAPKAPK5 intron
human87076 MAPKAPK5 utr3
human87077 MAPKAPK5 utr3
human87083 MAPKAPK5 utr3
human87095 TMEM116 utr3
human87096 TMEM116 utr3
human87102 TMEM116 intron
human87103 TMEM116 intron
human87104 TMEM116 intron
human87106 TMEM116 intron
human87107 TMEM116 intron
human87108 TMEM116 intron
human87116 ERP29 utr3
human87117 ERP29 utr3
human87120 NAA25 utr3
human87122 NAA25 utr3
chimp78764 NAA25 utr3
human87132 NAA25 utr3
human87133 NAA25 utr3
human87137 NAA25 intron
human87143 NAA25 intron
human87144 NAA25 utr3
human87145 NAA25 utr3
chimp78786 NAA25 intron
human87159 TRAFD1 cds
human87172 TRAFD1 utr3
human87176 HECTD4 utr3
human87177 HECTD4 utr3
human87217 HECTD4 cds
chimp78911 HECTD4 intron
human87272 RPL6 utr3
human87273 RPL6 cds
human87274 RPL6 cds
human87279 RPL6 cds
human87280 RPL6 cds
chimp78922 RPL6 cds
human87283 RPL6 utr5
human87289 PTPN11 intron
human87306 PTPN11 intron
human87307 PTPN11 end
human87326 PTPN11 utr3
human87328 OAS1 cds
human87335 OAS1 intron
human87338 OAS1 cds
human87348 OAS1 utr3
human87350 OAS1 end
human87356 OAS3 intron
human87366 OAS3 utr3
human87367 OAS3 utr3
human87368 OAS3 utr3
human87370 OAS3 utr3
human87371 OAS3 utr3
human87379 OAS2 utr3
human87397 OAS2 utr3
human87398 OAS2 utr3
human87400 OAS2 utr3
human87401 OAS2 utr3
human87407 DTX1 intron
chimp79015 DTX1 intron
human87430 DTX1 utr3
human87439 DDX54 utr3
human87441 DDX54 cds
human87442 DDX54 cds
human87445 RITA1 cds
human87446 RITA1 intron
chimp79076 RITA1 intron
human87450 RITA1 utr3
human87451 RITA1 utr3
human87499 TPCN1 utr3
human87500 TPCN1 utr3
human87501 SLC8B1 utr3
human87503 SLC8B1 utr3
human87507 SLC8B1 intron
human87508 SLC8B1 intron
human87518 PLBD2 utr3
human87521 SDSL utr3
chimp79138 SDSL utr3
human87539 RBM19 utr3
human87544 RBM19 utr3
human87569 RBM19 intron
human87576 RBM19 utr3
human87590 RBM19 utr3
human87592 RBM19 utr3
human87613 MED13L utr3
chimp79402 LOC107984438 end
human87750 LOC107984438 end
human87751 LOC107984438 end
chimp79406 LOC107984438 end
human87752 LOC107984438 end
human87753 LOC107984438 end
chimp79410 LOC107984438 utr3
human87770 LINC00173 utr5
human87771 LINC00173 utr5
human87773 LINC00173 utr5
chimp79439 LINC00173 utr5
human87774 LINC00173 end
human87780 C12orf49 end
human87782 C12orf49 utr3
chimp79453 C12orf49 utr3
human87784 C12orf49 utr3
human87785 C12orf49 utr3
human87789 C12orf49 utr3
human87798 RNFT2 cds
human87800 RNFT2 intron
human87804 RNFT2 utr3
human87805 RNFT2 utr3
human87806 RNFT2 utr3
human87812 FBXW8 cds
human87814 FBXW8 intron
human87819 FBXW8 intron
human87830 FBXW8 intron
human87831 FBXW8 intron
chimp79543 FBXW8 end
human87862 FBXW8 utr3
human87869 FBXW8 utr3
human87873 FBXW8 utr3
human87875 TESC utr3
human87883 TESC intron
human87886 TESC intron
human87887 TESC intron
human87889 TESC intron
human87898 FBXO21 utr3
human87899 FBXO21 utr3
human87900 FBXO21 utr3
human87901 FBXO21 utr3
human87915 FBXO21 intron
chimp79623 FBXO21 intron
human87919 FBXO21 intron
human87923 FBXO21 cds
human87924 FBXO21 cds
human87930 RFC5 cds
human87936 RFC5 utr3
human87937 RFC5 utr3
human87941 WSB2 utr3
chimp79698 WSB2 utr3
human87942 WSB2 utr3
human87943 WSB2 utr3
human87950 WSB2 intron
human87954 WSB2 intron
human87957 WSB2 intron
human87959 VSIG10 end
human87961 VSIG10 utr3
human87976 PEBP1 utr3
human87992 TAOK3 intron
human87993 TAOK3 intron
human87995 TAOK3 intron
human88011 TAOK3 cds
human88052 TAOK3 utr5
chimp79852 SUDS3 cds
chimp79854 SUDS3 cds
human88114 SUDS3 cds
human88116 SUDS3 cds
human88121 SUDS3 intron
human88138 PRKAB1 utr3
human88139 CIT utr3
human88146 CIT cds
human88161 CIT intron
human88162 CIT cds
human88187 CIT cds
human88204 RAB35 utr3
human88205 RAB35 utr3
human88206 RAB35 utr3
human88207 RAB35 utr3
human88214 RAB35 intron
human88222 GCN1 utr3
human88232 GCN1 cds
human88242 GCN1 cds
human88246 RPLP0 utr3
human88264 RNU4-2 utr3
human88266 RNU4-1 utr3
human88270 COX6A1 utr3
human88271 TRIAP1 utr3
human88275 TRIAP1 cds
chimp80000 SRSF9 utr3
human88286 SRSF9 utr3
human88288 GATC utr3
human88290 GATC utr3
human88297 DYNLL1 intron
human88308 LOC107987181 end
human88309 LOC107987181 end
human88310 LOC107987181 end
human88312 DYNLL1 utr3
human88313 COQ5 utr3
human88315 COQ5 cds
human88317 COQ5 intron
human88351 RNF10 utr3
human88355 POP5 utr3
human88366 MLEC utr5
human88371 MLEC cds
human88374 MLEC cds
human88375 MLEC utr3
human88381 MLEC utr3
human88385 MLEC utr3
chimp80100 UNC119B cds
human88390 UNC119B intron
human88391 UNC119B intron
human88392 UNC119B utr3
human88400 SPPL3 utr3
chimp80113 SPPL3 utr3
human88401 SPPL3 utr3
human88402 SPPL3 utr3
human88471 SPPL3 intron
human88480 SPPL3 intron
human88485 C12orf43 utr3
human88486 C12orf43 utr3
human88488 C12orf43 utr3
human88489 C12orf43 utr3
human88491 C12orf43 utr3
human88518 P2RX4 intron
human88521 P2RX4 utr3
human88522 CAMKK2 utr3
human88526 CAMKK2 utr3
human88541 CAMKK2 intron
human88543 ANAPC5 utr3
human88552 ANAPC5 intron
human88554 ANAPC5 intron
human88566 RNF34 intron
human88581 RNF34 cds
human88582 RNF34 cds
human88583 RNF34 cds
human88590 RNF34 utr3
human88593 KDM2B end
human88595 KDM2B utr3
human88597 KDM2B utr3
human88609 MIR7107 utr3
human88620 KDM2B intron
human88642 KDM2B intron
human88646 KDM2B intron
chimp80361 ORAI1 intron
human88672 ORAI1 utr3
human88674 ORAI1 end
human88677 LOC105370034 intron
human88678 LOC105370034 intron
human88679 LOC105370034 intron
chimp80370 LOC105370034 intron
chimp80371 LOC105370034 intron
human88680 LOC105370034 intron
chimp80376 LOC105370034 utr5
human88681 LOC105370034 end
human88690 TMEM120B intron
human88693 TMEM120B utr3
human88695 TMEM120B utr3
human88696 RHOF utr3
human88698 RHOF utr3
human88699 RHOF intron
human88700 RHOF intron
human88704 TMEM120B utr3
human88707 RHOF intron
chimp80411 LINC01089 intron
human88710 LINC01089 utr3
human88711 LINC01089 intron
human88712 LINC01089 utr3
chimp80416 LINC01089 utr3
human88723 SETD1B intron
human88729 SETD1B utr3
human88741 PSMD9 utr3
human88752 BCL7A cds
human88754 BCL7A cds
human88766 MLXIP intron
human88767 MLXIP intron
human88769 MLXIP intron
human88774 MLXIP cds
human88778 MLXIP utr3
human88780 MLXIP utr3
human88782 DIABLO utr3
chimp80480 DIABLO utr3
human88797 VPS33A utr3
human88799 VPS33A utr3
human88800 VPS33A utr3
human88815 CLIP1 utr3
human88829 CLIP1 cds
human88832 CLIP1 cds
human88837 CLIP1 cds
human88838 CLIP1 cds
human88839 CLIP1 cds
human88866 ZCCHC8 utr3
human88871 ZCCHC8 utr3
human88873 ZCCHC8 utr3
human88874 ZCCHC8 intron
human88875 ZCCHC8 intron
human88879 ZCCHC8 intron
human88880 ZCCHC8 intron
human88887 ZCCHC8 utr3
human88891 RSRC2 utr3
human88904 RSRC2 utr3
human88911 RSRC2 utr3
human88917 RSRC2 utr3
human88926 KNTC1 intron
human88927 KNTC1 intron
human88938 KNTC1 cds
human88943 KNTC1 cds
chimp80618 KNTC1 intron
human88951 KNTC1 end
human88959 KNTC1 utr3
human88972 DENR intron
human88978 DENR intron
human88979 DENR intron
human88988 DENR cds
human88994 DENR cds
human88996 DENR cds
human88998 DENR cds
human89003 DENR utr3
human89004 DENR utr3
human89016 VPS37B utr3
human89027 VPS37B intron
human89033 VPS37B intron
human89036 VPS37B intron
human89037 VPS37B intron
human89038 VPS37B intron
human89044 ABCB9 utr3
human89050 OGFOD2 utr3
human89051 OGFOD2 utr3
human89052 OGFOD2 end
human89053 OGFOD2 end
human89054 OGFOD2 end
human89055 ARL6IP4 utr3
human89060 MPHOSPH9 utr3
human89084 MPHOSPH9 intron
human89097 C12orf65 utr5
chimp80760 C12orf65 intron
human89099 C12orf65 intron
human89102 C12orf65 utr5
chimp80768 C12orf65 cds
human89109 C12orf65 utr3
human89112 CDK2AP1 end
human89113 CDK2AP1 utr3
human89115 CDK2AP1 utr3
chimp80787 SBNO1 cds
human89142 SBNO1 cds
human89149 SBNO1 cds
human89151 SBNO1 cds
human89157 SBNO1 cds
chimp80805 SBNO1 cds
human89165 LOC112268105 utr3
chimp80809 LOC112268105 utr3
human89170 KMT5A cds
human89172 KMT5A cds
human89173 KMT5A cds
human89175 KMT5A cds
human89176 KMT5A utr3
human89182 RILPL2 end
human89184 RILPL2 utr3
human89185 RILPL2 utr3
human89193 RILPL2 utr3
human89217 SNRNP35 utr3
human89226 SNRNP35 end
human89239 TMED2 cds
human89240 TMED2 intron
human89242 TMED2 cds
human89243 TMED2 cds
human89249 TMED2 utr3
human89250 TMED2 end
human89258 DDX55 cds
human89267 DDX55 end
human89269 DDX55 utr3
